Aachen	ɑː k eː n
körandning	² k øː r ˌa n d n ɪ ŋ
körsbär	/ e n . w i k t i o n a r y . o r g
körtel	/ e n . w i k t i o n a r y . o r g
körtel	/ e n . w i k t i o n a r y . o r g
körtel	/ e n . w i k t i o n a r y . o r g
körvel	/ e n . w i k t i o n a r y . o r g
körvel	/ e n . w i k t i o n a r y . o r g
körvel	/ e n . w i k t i o n a r y . o r g
körvel	/ e n . w i k t i o n a r y . o r g
körvel	/ e n . w i k t i o n a r y . o r g
körvel	/ e n . w i k t i o n a r y . o r g
kött	ɕ œ tː
köttbullar	ˈɕ œ tː ˌb ɵ l a r
köttbulle	ˈɕ œ tː ˌb ɵ l ɛ
köttig	ˈɕ œ tː ˌɪ ɡː
köttslig	ˈɕ œ t s ˌl ɪ ɡː
la	l ɑː
la	l a
la	l a
la	l a
la	l á
la	l á
la	l á
la	l á
la	l á
la	l á
la	l á
la	l à
la	l à
la	l à
la	l à
la	l à
la	ˈl á
la	l a
la	l a
la	l á
la	l á
la	l á
la	l á
la	l á
la	l á
la	l á
la	l à
la	l à
la	l à
la	l à
la	l à
la	ˈl á
laboratorium	l a b ʊ r a ˈt uː r ɪ ɵ m
lade	l ɑː d ɛ
ladugård	ˈl a ɡ ɔ r d
ladugård	ˈl ɑː ɡ ɔ r d
ladugård	² l ɑː d ɵ ˌɡ oː r d
lag	l ɑː ɡ
lag	/ e n . w i k t i o n a r y . o r g
lager	ˈl ɑː ɡ ɛ r
lagom	ˈl ɑː ˌɡ ɔ m
lagom	ˈl a ɡ o m
lagom	/ e n . w i k t i o n a r y . o r g
lagt	l a k t
lagts	l a k t s
lagård	¹ l a ɡ ɔ ɖ
lagård	¹ l ɑː ɡ ɔ ɖ
Laholm	l a ˈh ɔ l m
laja	² l a j a
laja	/ e n . w i k t i o n a r y . o r g
lajbans	ˈl a j b a n s
lakan	ˇl ɑː k a n
lakan	l a ˈk a n
lakan	/ e n . w i k t i o n a r y . o r g
lakrits	¹ l ɑː k r ɪ s
lakrits	¹ l a k r ɪ s
lamm	l a mː
lammgam	l a m ˈɡ ɑː m
lammkött	ˈl a mː ˌɕ œ tː
land	l a n d
land	l a n
land	l a n
land	/ e n . w i k t i o n a r y . o r g
landkrabba	ˈl a n d ˌk r a bː a
landskapsdjur	² l a n d s k ɑː p s ˌj ʉː r
landskronit	l a n d s k r ʊ ˈn iː t
landskronit	/ e n . w i k t i o n a r y . o r g
lantbrevbärare	² l a n t b r eː v ˌb ɛː r a r ɛ
lanterna	l a n ˈt æː ɳ a
lanterna	ˈl a n ˌt æː ɳ a
lappmes	l a p ˈm eː s
lappmes	/ e n . w i k t i o n a r y . o r g
lappuggla	l a p ˈɵ ɡ l a
larv	l a r v
larv	/ e n . w i k t i o n a r y . o r g
lasagne	l a ˈs a n j
lastförskjutningsnät	² l a s t f øː r ɧ ʉ̟ː t n ɪ ŋ s ˌn ɛː t
lattja	² l a t ɕ a
lattjo	ˈl a t ɕ ʊ
lavoar	l a v ʊ ˈɑː r
lavskrika	² l ɑː v ˌs k r iː k a
lax	l a k s
layout	ˈl ɛ j a ʊ t
le	l eː
le	l eː
le	l eː
le	l eː
le	l eː
le	l eː
le	l è
le	l è
le	l è
le	l è
le	l ē
le	l é
le	ˈl é
lealös	² l eː a ˌl øː s
leddjur	ˈl eː d ˌj ʉː r
ledig	ˈl eː ˌd ɪ ɡ
ledsen	l ɛ sː ə n
ledsna	² l ɛ s n a
ledsna	/ e n . w i k t i o n a r y . o r g
leende	ˈl eː ˌɛ n d ɛ
legend	l e . ɡ e n d
legend	/ e n . w i k t i o n a r y . o r g
legitim	l ɛ ɡ ɪ ˈt iː m
legitim	/ e n . w i k t i o n a r y . o r g
lego	ˈl eː . ɡ u
leidenflaska	ˈl ɛ j . d ɛ n ˌf l a s . k a
Leif	ˈl ɛ j f
lek	l ɛ kʰ
lek	l ɛ kʰ
lek	l eː k ˧˥
lemur	l ɛ ˈm ʉː r
lemur	ˈl e m u ɾ
lemur	/ e n . w i k t i o n a r y . o r g
lesbisk	ˈl ɛ s b ɪ s k
less	ˈl ɛ sː
lettiska	ˈl ɛ t ɪ s k a
lev	l eː v
leva	² l eː v a
leverpastej	l eː v ɛ r ˈp a s t ɛ j
leverpastej	/ e n . w i k t i o n a r y . o r g
lian	l i . aː n
lian	/ e n . w i k t i o n a r y . o r g
lie	l iː ɛ
lik	ˈl iː k
lik	l i k ˥
lik	l i k ˥
lik	l i k ˥
lik	l i k ˥
lik	l i k ˥
lik	l i k ˥
liksom	¹ l ɪ k s ɔ m
liksom	¹ l iː k s ɔ m
liksom	¹ l iː k s ɔ m
liksom	/ e n . w i k t i o n a r y . o r g
lillejulafton	ˈl ɪ l ɛ j ʉ̟ː l ˌa f t ɔ n
lillejulafton	ˌl ɪ l ɛ j ʉ̟ː l ˈa f t ɔ n
Lima	² l iː m a
lin	l iː n
lin	l iː n
lin	l iː n
Lina	² l iː n a
Lindgren	ˈl ɪ n d ɡ r eː n
Lindgren	ˈl ɪ ŋ ɡ r eː n
lingon	² l ɪ ŋ ɔ n
lingon	l i ˈŋ o n
lingon	/ e n . w i k t i o n a r y . o r g
lingonsylt	² l ɪ ŋ ɔ n ˌs ʏ l t
Linnea	l ɪ ² n eː a
Linnéa	l ɪ ² n eː a
Lisa	² l iː s a
Lisa	/ e n . w i k t i o n a r y . o r g
Lisas	² l iː s a s
lita	l iː t a
litauiska	l ɪ ˈt a͜ʊ ɪ s k a
liten	² l iː t ɛ n
liten	/ e n . w i k t i o n a r y . o r g
litium	ˈl iː t s ɪ ɵ m
liv	l iː v
liv	/ e n . w i k t i o n a r y . o r g
livsfarlig	/ e n . w i k t i o n a r y . o r g
livsfarliga	/ e n . w i k t i o n a r y . o r g
livsfientlig	² l iː v s f ɪ ˌɛ n t l ɪ ɡ
livskvalitet	ˈl iː v s k v a l i ˌt eː t
ljud	j ʉː d
ljud	/ e n . w i k t i o n a r y . o r g
ljuga	² j ʉː ɡ a
Ljungby	² j ɵ ŋ b ʏ
ljungpipare	ˌj ɵ ŋ ˈp iː p a ɾ ɛ
ljungpipare	/ e n . w i k t i o n a r y . o r g
ljus	j ʉː s
ljus	/ e n . w i k t i o n a r y . o r g
ljushyllt	ˈj ʉ sː ˌh ʏ l t
ljuta	² j ʉː t a
ljuta	/ e n . w i k t i o n a r y . o r g
lo	l uː
lo	l̪ o
lo	l̪ o
lo	l̪ o
lo	l̪ o
lo	l ò
lo	l ò
lo	l ò
lo	l ò
lo	l ò
lo	l ò
lo	l ó
lo	l o ˨˦
lo	l o ˧˩
lo	ˈl ó
lo	ˈl ó
lo	l o
LOB	ˈl uː b
LOB	l ɔ b
lodjur	² l uː ˌj ʉː r
loge	ˈl oː ɧ
loge	² l uː ɡ ɛ
loge	² l uː ɡ ɛ
lom	l ʊ m
London	ˈl ɔ n d ɔ n
lopp	l ɔ pː
lopp	/ e n . w i k t i o n a r y . o r g
lopp	/ e n . w i k t i o n a r y . o r g
lounge	² l uː . ɵ ŋ ɛ
lounge	¹ l a ʊ n d ʂ
lounge	¹ l a ʊ n d ʂ
lounges	l uː ɵ ŋ ɛ s
lov	l oː v
lov	l uː v
lov	l uː v
lov	l uː v
Lucia	l ɵ ˈs iː ˌa
luden	l ʉː d ɛ n
lugn	l ɵ ŋ n
lumpen	/ e n . w i k t i o n a r y . o r g
lunch	ˈl ɵ n ɧ
lunchdisco	² l ɵ ɧ ˌd ɪ s k ʊ
lunchrast	² l ɵ n ɧ ˌr a s t
Lund	l ɵ n d
lund	l ɵ n d
lundensisk	l ɵ n ˈd ɛ n s ɪ s k
Lundgren	¹ l ɵ n d ɡ r eː n
Lundgren	² l ɵ n d ɡ r eː n
Lundgren	² l ɵ n d ɡ r eː n
Lundgren	/ e n . w i k t i o n a r y . o r g
Lundgren	² l ɵ n d ɡ r eː n
Lundgren	/ e n . w i k t i o n a r y . o r g
lundsångare	l ɵ n d ˈs ɔ ŋ a r ɛ
lungödem	² l ɵ ŋː ø ˌd eː m
lussekatt	ˈl ɵ s ɛ ˌk a t
lussekatt	/ e n . w i k t i o n a r y . o r g
lussekatt	/ e n . w i k t i o n a r y . o r g
lycka	² l ʏ kː a
lycklig	l ʏ kː l ɪ ɡ
lyckt	ˈl ʏ k t
lyckta	² l ʏ k t a
lydnad	ˈl yː d ˌn a d
lykta	² l ʏ k t a
lymfocyt	l ʏ m f ʊ ˌs yː t
lyssna	² l ʏ s n a
lyxhotell	l ʏ kː s h ʊ t ɛ lː
läcka	ˈl ɛ ˌk a
läcka	/ e n . w i k t i o n a r y . o r g
läder	ˈl ɛː d ɛ r
läder	ˈl eː d ə r
läder	ˈl eː d ə r
läger	ˈl ɛː ɡ ɛ r
lägga	² l ɛ ɡ a
lägga	/ e n . w i k t i o n a r y . o r g
läggning	/ e n . w i k t i o n a r y . o r g
län	l ɛː n
län	l ɛ n
länge	ˈl ɛ ŋ ˌɛ
längs	l ɛ ŋ s
längs	/ e n . w i k t i o n a r y . o r g
lär	ˈl ɛː r
lär	/ e n . w i k t i o n a r y . o r g
lära	ˈl æː ˌr a
läs	l ɛː s
läsa	ˈl ɛː ˌs a
läser	ˈl ɛ s ɛ r
läsesal	² l ɛː s ɛ ˌs ɑː l
läsk	l ɛ s k
läska	ˈl ɛ s ˌk a
läsuttal	² l ɛː s ʉ t ˌt ɑː l
lätt	l ɛ t
lätting	² l ɛ t ɪ ŋ
låg	l oː ɡ
långsam	² l ɔ ŋ s a m
långsam	/ e n . w i k t i o n a r y . o r g
långt	l ɔ ŋ t
långtåsnäppa	ˌl ɔ ŋ t oː ˈs n ɛ p a
långtåsnäppa	/ e n . w i k t i o n a r y . o r g
långvarig	² l ɔ ŋ ˌv ɑː r ɪ ɡ
låt	ˈl oː t
låt	/ e n . w i k t i o n a r y . o r g
låt	/ e n . w i k t i o n a r y . o r g
låt	/ e n . w i k t i o n a r y . o r g
låta	² l oː t a
lögn	l œ ŋ n
lök	l øː k
lön	l øː n
löneslav	ˌl øː n ɛ ˈs l ɑː v
lönndom	² l œ n ˌd ʊ m
löpa	l øː p a
lördag	ˈl øː r d ɑː ɡ
lördag	/ e n . w i k t i o n a r y . o r g
lördag	/ e n . w i k t i o n a r y . o r g
lös	l øː s
lös	/ e n . w i k t i o n a r y . o r g
lösa	² l øː s a
lösa	/ e n . w i k t i o n a r y . o r g
lösa	/ e n . w i k t i o n a r y . o r g
lösen	ˈl øː s ɛ n
lövverk	ˈl øː v ˌv ɛ r k
mack	m a k
macka	² m a k a
macka	/ e n . w i k t i o n a r y . o r g
mage	² m ɑː ɡ ɛ
magnesium	m a ŋ ˈn eː s ɪ ɵ m
magnoliaskogssångare	m a ɡ n uː l ɪ j a ˌs ɡ ʊ ɡ ˈs ɔ ŋ a ɾ ɛ
magnoliaskogssångare	/ e n . w i k t i o n a r y . o r g
Magnus	¹ m a ŋ n ɵ s
maj	m a j
maj	/ e n . w i k t i o n a r y . o r g
majoritet	m a j o r ɪ ˈt eː t
maka	ˈm ɑː ˌk a
maka	m a . k a
maka	/ e n . w i k t i o n a r y . o r g
make	ˈm ɑː ˌk ɛ
make	/ e n . w i k t i o n a r y . o r g
mal	m ɑː l
mal	ˈm ɑ ɫ
malaria	m a ¹ l ɑː r ɪ a
malaria	/ e n . w i k t i o n a r y . o r g
malen	/ e n . w i k t i o n a r y . o r g
malen	/ e n . w i k t i o n a r y . o r g
malen	/ e n . w i k t i o n a r y . o r g
Malin	ˈm aː ˌl ɪ n
Malin	ˌm a ˈl iː n
Malin	ˌm a ˈl iː n
mall	ˈm a l
mall	m o l
Mallis	¹ m a l ɪ s
Malmö	ˈm a l ˌm øː
Malmö	/ e n . w i k t i o n a r y . o r g
malmöit	m a l m ø ˈiː t
malmöit	/ e n . w i k t i o n a r y . o r g
Malte	² m a l t ɛ
malört	² m ɑː l ˌœ r t
mambo	ˈm a m b ʊ
mambo	ˈm a m b ʊ
mambo	ˈm a m b ʊ
mambo	² m a m ˌb uː
mambo	ˈm a m b ʊ
mambo	² m a m ˌb uː
mamma	/ e n . w i k t i o n a r y . o r g
man	m a n
man	ˈm ɑː n
man	m a n
man	m a n
man	m a n
man	m a n
man	m a n
man	m ɔ n
man	m ɔ n
man	/ e n . w i k t i o n a r y . o r g
man	/ e n . w i k t i o n a r y . o r g
man	/ e n . w i k t i o n a r y . o r g
man	ˈm ɑː n
man	m a n
man	m a n
man	m a n
man	m a n
man	m a n
man	m ɔ n
man	m ɔ n
man	/ e n . w i k t i o n a r y . o r g
man	/ e n . w i k t i o n a r y . o r g
man	/ e n . w i k t i o n a r y . o r g
mandrom	² m a n d r ɔ m
manen	ˈm ɑː n ə n
manen	ˈm aː . n e n
manen	ˈm aː . n e n
manet	m a ˈn eː t
manga	m a ŋ ɡ a
mangan	m a ŋ ˈɡ ɑː n
mangan	/ e n . w i k t i o n a r y . o r g
mangan	/ e n . w i k t i o n a r y . o r g
mangan	/ e n . w i k t i o n a r y . o r g
mango	ˈm a ŋ ɡ ʊ
mango	ˈm a ŋ ɡ ɔ
mango	ˈm a ŋ ɡ ɔ
mango	ˈm a ŋ ɡ ɔ
manick	m a ˈn ɪ k
mannen	ˈm a nː ɛ n
manöver	m a n ˈøː v ɛ r
Margareta	m a r ɡ a ² r eː t a
margarin	m a r ɡ a ˈr iː n
margarin	m a ɾ . ɡ a . ɾ i n
Maria	m a ² r iː a
Maria	m à . ɾ í . à
Maria	m à . ɾ í . à
Maria	m à . ɾ í . à
Maria	m à . ɾ í . à
Marika	m a ² r iː k a
mark	m a r k
mark	ˈm a r k ɛ r
mark	ˈm a r ˌk ɛ r
mark	m æ r k
mark	m a r k
mark	ˈm a r k ɛ r
mark	ˈm a r ˌk ɛ r
mark	m æ r k
mark	m a r k
mark	ˈm a r ˌk ɛ r
mark	m æ r k
mark	m a r k
marknaden	ˈm a rː k ˌn a dː ɛ nː
marknaden	ˈm a rː k ˌn a nː
mars	ˈm a ʂ
Mars	m a r s
Mars	m a r s
marsch	ˈm a r ɕ
masa	² m ɑː s a
masa	/ e n . w i k t i o n a r y . o r g
masa	/ e n . w i k t i o n a r y . o r g
maskin	m a ˈɧ iː n
maskros	ˈm a s k ˌr uː s
masktörnskata	m a s k t øː r n ˈs k ɑː t a
massa	m a sː a
massage	m a ˈs ɑː ɧ
mat	m ɑː t
mat	m a t
matcha	² m a t ɕ a
matchfixning	² m a t͡ɕ ˌf ɪ k s n ɪ ŋ
matematik	m a t ɛ m a ˈt iː k
matematik	m a t e m a ˈt i c
matematik	m a t e m a ˈt i c
matsäck	² m a s ɛ k
matsäck	² m ɑː t ˌs ɛ k
matsäck	t
matsäck	t
matsäck	t
matsäck	² m ɑː t ˌs ɛ k
matsäck	t
matsäck	t
matsäck	t
matt	m a t
mattant	² m ɑː t ˌt a n t
Mattias	m a ˈt iː a s
meckig	ˈm e ˌkː ɪ ɡ
med	m eː d
med	m ɛː d
medarbetare	ˈm eː d a r b eː t a r ɛ
meddela	m eː d d e l a
meddelande	ˈm eː d ˌd eː l a n d ɛ
medelhavstrut	ˌm eː d ɛ l h a v s ˈt r ʉː t
medhjälpare	m eː d ˈj ɛ l p a r e
medicin	m ɛ d ɪ ˈs iː n
medtrafikant	/ e n . w i k t i o n a r y . o r g
megafon	m ɛ ɡ a f oː n
megafon	/ e n . w i k t i o n a r y . o r g
mejsel	ˈm ɛ j s ɛ l
mem	m eː m
mem	m ɛ m
men	m ɛ n
men	m eː n
men	m e n
men	m e n
men	m e n
men	m e n
men	/ e n . w i k t i o n a r y . o r g
men	m eː n
men	m e n
men	m e n
men	m e n
men	m e n
men	/ e n . w i k t i o n a r y . o r g
meningslös	ˈm eː . n ɪ ŋ s ˌl øː s
meningslösa	ˈm eː . n ɪ ŋ s . l øː ˌs a
mens	ˈm ɛ nː s
mens	ˈm ɛ nː s
mens	ˈm ɛ nː s
mens	ˈm eː n s
mens	ˈm eː n s
mens	m e n s
mens	m e n s
mens	ˈm ɛ nː s
mens	ˈm eː n s
mens	ˈm eː n s
mens	m e n s
mens	m e n s
mens	ˈm eː n s
mens	m e n s
mens	m e n s
mentalesiska	m ɛ n t a ˈl eː s ɪ s k a
meny	m ɛ ˈn yː
mer	m eː r
Merkurius	m ɛ r ˈk ʉː r ɪ ɵ s
Merkurius	m ɛ r ˈk y ə̯ r i ə s
mes	m eː s
messmör	² m eː s ˌs m øː r
messmör	² m ɛ s ˌs m øː r
metan	m ɛ ˈt ɑː n
meter	ˈm eː t ɛ r
metonym	m ɛ t ɔ ˈn yː m
metonym	m ɛ t ʊ ˈn yː m
meänkieli	ˈm eː . ɛ n . k ɪ . ɛ . l ɪ
middag	ˈm ɪ d a
middag	ˈm ɪ d ɑː ɡ
middag	ˈm ɪ d ɑː ɡ
midsommar	² m ɪ ˌs ɔ m a r
midsommar	² m iː d ˌs ɔ m a r
midsommar	² m ɪ d ˌs ɔ m a r
midsommar	d
midsommar	d
midsommar	d
midsommar	² m iː d ˌs ɔ m a r
midsommar	² m ɪ d ˌs ɔ m a r
midsommar	d
midsommar	d
midsommar	d
mig	m ɛ j
mig	m a j
mig	/ e n . w i k t i o n a r y . o r g
mig	/ e n . w i k t i o n a r y . o r g
mig	m a j
mig	/ e n . w i k t i o n a r y . o r g
mig	/ e n . w i k t i o n a r y . o r g
Mikael	ˈm iː k aː ˌe l
Miklagård	ˈm iː k l a ˌɡ oː r d
mil	m iː l
mil	ˈm i l
mil	m iː l
mil	/ e n . w i k t i o n a r y . o r g
mildra	m ɪ l ˈd r a
miljard	m ɪ l ˈj ɑː ɖ
miljon	m ɪ l ˈj uː n
miljö	m ɪ l ˈj øː
miljö	/ e n . w i k t i o n a r y . o r g
millimeter	m ɪ l ɪ ˈm eː t ɛ r
millimeter	ˈm ɪ l ɪ m eː t ɛ r
min	m iː n
min	m i n
min	m i n
min	/ e n . w i k t i o n a r y . o r g
min	/ e n . w i k t i o n a r y . o r g
min	/ e n . w i k t i o n a r y . o r g
mina	ˈm iː ˌn a
mina	ˈm iː . n a
mina	m iː n á
mina	m iː n á
mina	ˈm iː . n a
mina	m iː n á
mina	m iː n á
mineral	ˌm i n ɛ ˈr aː l
minikjol	ˈm iː n ɪ ˌɕ uː l
ministerstyre	m ɪ ˈn ɪ s t ɛ r ˈs t yː r ɛ
minnesgod	² m ɪ n ɛ s ˌɡ uː d
miombomes	m ɪ ˌj ɔ m b ɔ ˈm eː s
miombomes	/ e n . w i k t i o n a r y . o r g
missbrukare	² m ɪ s ˌb r ʉ̟ː k a r ɛ
mission	m ɪ ˈɧ uː n
mitt	m ɪ tː
mittemot	m ɪ tˑ e ˈm uː t
mjöd	m j øː d
mjöd	/ e n . w i k t i o n a r y . o r g
mjölk	m j œ l k
Mjölner	ˈm j œ l . n i r
mod	m uː d
mod	m oː d
mode	² m uː d ɛ
modevisning	ˈm uː d ɛ ˌv iː s n ɪ ŋ
mojäng	m ʊ ˈj ɛ ŋ
mojäng	/ e n . w i k t i o n a r y . o r g
moll	m ɔ l
moll	m ɔ ɬ
moll	m ɔ ɬ
moln	m oː l n
moln	m ɔ l n
moln	m ɔ l n
molybden	m ɔ l ʏ b ˈd eː n
Monaco	m ɔ n ˈa k ʊ
mongo	ˈm ɔ ŋ ɡ ʊ
mongolpipare	m ɔ ŋ ˈɡ ʊ l ˈp iː p a ɾ ɛ
mongolpipare	/ e n . w i k t i o n a r y . o r g
monoteist	m ɔ n ʊ t ɛ ˈɪ s t
monument	m oː n ɵ ˈm ɛ n t
mor	m uː r
mor	m o ɾ
mor	m ɔ r
mor	/ e n . w i k t i o n a r y . o r g
morbror	ˈm ʊ r ˌb r ʊ r
morbror	ˈm ʊ r b r ʊ r
mord	m uː ɖ
mord	m uː r d
morgnar	² m oː r n a r
morgnarna	² m oː ˌɳ a ɳ a
morgon	² m ɔ r ɡ ɔ n
morkulla	ˌm uː r ˈk ɵ l a
morkulla	/ e n . w i k t i o n a r y . o r g
mors	m ɔ r s
mors	m uː r s
mors	m uː r s
mors	/ e n . w i k t i o n a r y . o r g
mors	m uː r s
mors	/ e n . w i k t i o n a r y . o r g
morsa	² m ʊ ʂ a
morsa	² m ɔ ʂ a
morsa	² m ɔ ʂ a
morse	² m ɔ r s e
morsning	m ɔ r s n ɪ ŋ
mos	m uː s
moscha	ˈm ɔ ɕː a
moscha	ˈm ɔ ɕ a
Moskva	m ʊ ˈs k v ɑː
mosnäppa	m uː ˈs n ɛ p a
mosnäppa	/ e n . w i k t i o n a r y . o r g
moster	ˈm ʊ ˌs t ɛ r
moster	ˈm ʊ s t ɛ r
mot	m uː t
mot	m uː t
mot	/ e n . w i k t i o n a r y . o r g
mot	/ e n . w i k t i o n a r y . o r g
mot	/ e n . w i k t i o n a r y . o r g
motgift	m uː t . j i f t
motion	m ɔ t ˈɧ uː n
motion	m ʊ t ˈɧ uː n
motorcykelhjälm	ˌm uː t ɔ r s ʏ k ɛ l ˈj ɛ l m
motsade	² m uː t ˌs ɑː d ɛ
muck	m ɵ k
muck	m u d ʒ k
mujka	ˈm ʉ j k ɑ
mujka	/ e n . w i k t i o n a r y . o r g
mula	² m ʉː l a
mula	/ e n . w i k t i o n a r y . o r g
mull	m ɵ l
mumie	ˈm ʉː m ɪ ɛ
mumie	/ e n . w i k t i o n a r y . o r g
mumrik	ˈm ɵ m r ɪ k
mumrik	/ e n . w i k t i o n a r y . o r g
mun	m ɵ n
mun	/ e n . w i k t i o n a r y . o r g
mun	/ e n . w i k t i o n a r y . o r g
mun	/ e n . w i k t i o n a r y . o r g
mun	/ e n . w i k t i o n a r y . o r g
mundiarré	² m ɵ n d ɪ a ˌr eː
mundiarré	/ e n . w i k t i o n a r y . o r g
mur	ˈm ʉː r
mur	m ɨː r
mur	m ɨː r
mur	m iː r
mur	/ e n . w i k t i o n a r y . o r g
murpelare	² m ʉ̟ː r ˌp eː l a r e
mus	m ʉː s
mus	m u s
mus	m u s
mus	m ʉː s
mus	m u ˩
mus	m u ˩
mus	m u ˩
mus	m u ˩
museer	m ɵ ˈs eː ˌɛ r
museum	m ɵ ˈs eː ˌɵ m
museum	m y ˈs eː ə m
musik	m ʉ ˈs iː k
musik	/ e n . w i k t i o n a r y . o r g
musik	/ e n . w i k t i o n a r y . o r g
musik	/ e n . w i k t i o n a r y . o r g
muskedunder	m ɵ s k ɛ ˈd ɵ n d ɛ r
muslim	m ɵ s l iː m
muslim	/ e n . w i k t i o n a r y . o r g
musseron	m ɵ s ɛ ˈr ɔ n
must	m ɵ s t
mycket	ˈm ʏ ˌk ɛ t
mygga	² m ʏ ɡ a
myla	² m yː l a
myla	/ e n . w i k t i o n a r y . o r g
mynning	m ʏ nː ɪ ŋ
mynt	m ʏ n t
myrsnäppa	ˌm y rː ˈs n ɛ p a
myrsnäppa	/ e n . w i k t i o n a r y . o r g
myrspov	ˌm yː r ˈs p uː v
myrspov	/ e n . w i k t i o n a r y . o r g
mys	m yː s
mys	m ɨː s
mys	m ɨː s
mys	m iː s
mysa	ˈm yː ˌs a
mysig	ˈm yː ˌs ɪ ɡ
mystisk	ˈm ʏ s t ɪ s k
myt	m yː t
mäkla	² ˈm ɛː k ˌl a
mäkla	² ˈm ɛ kː ˌl a
mäkla	² ˈm ɛ kː ˌl a
mäktig	² m ɛ k t ɪ ɡ
män	ˈm ɛ n
människa	m ɛ nː ɪ ɧ a
mänsklig	² m ɛ n s k l ɪ ɡ
märklig	² m æ r k l ɪ ɡ
mästare	ˈm ɛ s ˌt a r ɛ
mäster	ˈm ɛ s t ɛ r
mäster	/ e n . w i k t i o n a r y . o r g
mästerskap	² m ɛ s t e r ˌs k ɑː p
mäta	m ɛː t a
mäta	/ e n . w i k t i o n a r y . o r g
må	m oː
mål	m oː l
måla	ˈm oː ˌl a
månad	ˈm oː . n a d
måndag	ˈm ɔ n d ɑː ɡ
måndag	ˈm ɔ n d a
måne	ˈm oː ˌn ɛ
mångata	ˈm oː ŋ ˌɡ ɑː t a
månsing	² m ɔ n s ɪ ŋ
mårka	² m ɔ r k a
mårtensgås	m ɔ r t ɛ n ˈɡ oː s
måttbestämd	² m ɔ t b ɛ ˌs t ɛ m d
mö	m øː
mö	/ e n . w i k t i o n a r y . o r g
mög	m øː ɡ
mög	/ e n . w i k t i o n a r y . o r g
mögel	ˈm øː ɡ ɛ l
mögel	ˈm œ ɡː ɛ l
möjlig	² m œ j l ɪ ɡ
möjlig	/ e n . w i k t i o n a r y . o r g
mölla	² m œ l a
möp	m øː p
mörda	/ e n . w i k t i o n a r y . o r g
mörk	ˈm œ̞ rː k
mörk	ˈm ɵ rː k
mörk	/ e n . w i k t i o n a r y . o r g
mörk	/ e n . w i k t i o n a r y . o r g
mörk	/ e n . w i k t i o n a r y . o r g
mörk	/ e n . w i k t i o n a r y . o r g
mörk	ˈm ɵ rː k
mörk	/ e n . w i k t i o n a r y . o r g
mörk	/ e n . w i k t i o n a r y . o r g
mörk	/ e n . w i k t i o n a r y . o r g
mörk	/ e n . w i k t i o n a r y . o r g
mörker	ˈm œ̞ rː k ɛ r
mörker	ˈm ɵ rː k ɛ r
mörker	ˈm ɵ rː k ɛ r
mörkna	² m œ̞ rː k n a
mörkna	² m ɵ rː k n a
mörkna	² m ɵ rː k n a
mört	/ e n . w i k t i o n a r y . o r g
mört	/ e n . w i k t i o n a r y . o r g
mört	/ e n . w i k t i o n a r y . o r g
mört	/ e n . w i k t i o n a r y . o r g
mört	/ e n . w i k t i o n a r y . o r g
mört	/ e n . w i k t i o n a r y . o r g
mört	/ e n . w i k t i o n a r y . o r g
mört	/ e n . w i k t i o n a r y . o r g
mört	/ e n . w i k t i o n a r y . o r g
mötesplats	² m øː t ɛ s ˌp l a t s
nacka	² n a k a
nacka	/ e n . w i k t i o n a r y . o r g
nackskinn	ˈn a k ˌɧ ɪ n
nackskinn	/ e n . w i k t i o n a r y . o r g
nafs	ˈn a f s
nagel	ˈn ɑː ɡ ɛ l
naiv	n a ˈiː v
namn	n a m n
nasa	² n ɑː s a
nasa	/ e n . w i k t i o n a r y . o r g
nasare	² n ɑː s a r ɛ
nation	n a t ˈɧ uː n
nationalist	n a t ɧ ʊ n a ˈl ɪ s t
nationell	n a t ɧ ʊ ˈn ɛ l
Nato	ˈn ɑː t ʊ
Nato	/ e n . w i k t i o n a r y . o r g
natrium	ˈn ɑː t r ɪ ɵ m
natt	n a tː
natthäger	n a t ˈh ɛ ɡ ɛ r
ned	n eː d
neder	ˈn eː d ɛ r
neder	/ e n . w i k t i o n a r y . o r g
Nederländerna	² n e d ɛ r ˌl ɛ n d ɛ ɲ a
nedladdning	² n eː d ˌl a d n ɪ ŋ
nej	n ɛ j
nej	n e ˥˧
nej	n e ˥˧
nektarin	n ɛ k t a r ˌiː n
nektarin	/ e n . w i k t i o n a r y . o r g
Nellie	¹ n ɛ l ɪ
Nelly	¹ n ɛ l ʏ
neodym	ˈn eː ʊ d yː m
neon	n ɛ ˈoː n
neon	/ e n . w i k t i o n a r y . o r g
neon	/ e n . w i k t i o n a r y . o r g
neon	/ e n . w i k t i o n a r y . o r g
neon	/ e n . w i k t i o n a r y . o r g
nepalesisk	n ɛ p a ˈl eː s ɪ s k
neptunium	n ɛ p ˈt ʉː n ɪ ɵ m
Neptunus	n ɛ p ˈt ʉː n ɵ s
Neptunus	n ɛ p ˈt y n ə s
ner	n eː r
ner	/ e n . w i k t i o n a r y . o r g
ner	/ e n . w i k t i o n a r y . o r g
neutral	n eː ɵ ˈt r ɑː l
neutron	n eː ɵ ˈt r oː n
ni	n iː
ni	n iː
ni	n iː
ni	ˈn i
ni	n i
ni	n i
ni	n iː
ni	n iː
ni	n iː
ni	n iː
ni	n iː
ni	n̪ i
ni	n̪ i
ni	n ĩ́
ni	n ĩ́
